ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
CRP	3000518	protein homolog model	CARD; Resistomes & Variants	27	99.05 - 100.0	YES	no data	Escherichia coli; Citrobacter amalonaticus; Shigella flexneri; Shigella sonnei; Shigella boydii; Shigella dysenteriae; Escherichia fergusonii	429.00	0.00	429.00	41.44	262.33	198.68	0	0	0	0	N/A	N/A		633; 633; 633; 633; 633; 633; 633; 633; 633; 633; 633; 633; 633; 633; 633; 633; 633; 633; 633; 633; 633; 633; 633; 633; 633; 633; 633	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux
marA	3000263	protein homolog model	CARD; Resistomes & Variants	15	96.8 - 100.0	YES	no data	Escherichia coli; Shigella flexneri; Shigella sonnei; Klebsiella quasipneumoniae	464.00	0.00	464.00	56.51	245.13	175.64	0	0	0	0	N/A	N/A		384; 384; 384; 837; 384; 384; 384; 384; 384; 384; 387; 384; 384; 387; 384	resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux; reduced permeability to antibiotic
adeF	3000777	protein homolog model	Resistomes & Variants	6	41.52 - 98.58	YES	NO	Acinetobacter pittii; Enterobacter cloacae; Klebsiella oxytoca; Serratia marcescens	10.00	0.00	10.00	6.14	194.17	140.67	0	0	0	0	N/A	N/A		3180; 3237; 3147; 3114; 3153; 3153	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux
vanY gene in vanA cluster	3002955	protein homolog model	Resistomes & Variants	1	37.5	NO	NO	Bacillus thuringiensis	1.00	0.00	1.00	1.92	17.00	23.00	0	0	0	0	N/A	N/A		885	vanY; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
kdpE	3003841	protein homolog model	Resistomes & Variants	11	90.18 - 100.0	YES	NO	Citrobacter werkmanii; Escherichia coli; Salmonella enterica	1119.00	0.00	1119.00	43.54	373.36	149.30	0	0	0	0	N/A	N/A		678; 678; 1452; 765; 957; 786; 678; 705; 726; 678; 888	kdpDE	aminoglycoside antibiotic	antibiotic efflux
mdtC	3000794	protein homolog model	Resistomes & Variants	10	93.74 - 99.71	YES	NO	Citrobacter freundii; Escherichia coli; Escherichia fergusonii	1088.00	0.00	1088.00	18.83	635.60	195.07	0	0	0	0	N/A	N/A		4491; 3078; 6201; 3078; 3078; 3078; 3078; 3078; 2967; 3078	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux
ArnT	3005053	protein homolog model	Resistomes & Variants	11	63.52 - 99.64	YES	NO	Citrobacter freundii; Escherichia coli; Klebsiella pneumoniae; Shigella boydii	600.00	0.00	600.00	25.46	423.00	197.55	0	0	0	0	N/A	N/A		1659; 1653; 1653; 1653; 1701; 1653; 1653; 1653; 1653; 1656; 1701	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
emrR	3000516	protein homolog model	Resistomes & Variants	15	93.57 - 100.0	YES	NO	Citrobacter freundii; Citrobacter amalonaticus; Escherichia coli; Shigella sonnei; Klebsiella aerogenes; Klebsiella pneumoniae	199.00	0.00	199.00	47.25	255.27	194.96	0	0	0	0	N/A	N/A		531; 582; 531; 531; 531; 468; 531; 531; 531; 531; 531; 660; 639; 543; 486	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	3004480	protein homolog model	Resistomes & Variants	1	97.72	NO	NO	Bifidobacterium dentium	129.00	0.00	129.00	27.30	972.00	119.95	0	0	0	0	N/A	N/A		3561	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement
vanY gene in vanB cluster	3002956	protein homolog model	Resistomes & Variants	1	35.47	NO	NO	Paeniclostridium sordellii	6.00	0.00	6.00	6.10	43.00	52.67	0	0	0	0	N/A	N/A		705	vanY; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
