ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
mexX	3003034	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	347.00	0.00	347.00	100.00	1170.00	135.95	0	0	0	0	N/A	N/A		1170	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
MexA	3000377	protein homolog model	CARD; Resistomes & Variants	12	97.13 - 100.0	YES	no data	Pseudomonas aeruginosa	442.00	0.00	442.00	36.00	417.75	205.25	0	0	0	0	N/A	N/A		1152; 1152; 1152; 1152; 1191; 1152; 1152; 1176; 1152; 1152; 1152; 1188	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem	antibiotic efflux
arnA	3002985	protein homolog model	CARD; Resistomes & Variants	13	98.63 - 100.0	YES	no data	Pseudomonas aeruginosa	1014.00	0.00	1014.00	31.28	814.23	209.70	0	0	0	0	N/A	N/A		1989; 2742; 1989; 4518; 3003; 1989; 1989; 1989; 1800; 1989; 2028; 2079; 1989	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
PDC-4	3002501	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	1.00	0.00	1.00	21.02	251.00	221.00	0	0	0	0	N/A	N/A		1194	PDC beta-lactamase	monobactam; carbapenem; cephalosporin	antibiotic inactivation
MexJ	3003692	protein homolog model	CARD; Resistomes & Variants	7	99.46 - 100.0	YES	no data	Pseudomonas aeruginosa	341.00	0.00	341.00	36.47	402.57	210.73	0	0	0	0	N/A	N/A		1104; 1104; 1104; 1104; 1104; 1104; 1104	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux
ArmR	3004056	protein homolog model	CARD; Resistomes & Variants	4	98.11 - 100.0	no data	no data	Pseudomonas aeruginosa	124.00	0.00	124.00	96.91	160.00	185.27	0	0	0	0	N/A	N/A		162; 174; 162; 162	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem	antibiotic efflux
OXA-486	3003643	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	277.00	0.00	277.00	100.00	789.00	214.27	0	0	0	0	N/A	N/A		789	OXA beta-lactamase; OXA-50-like beta-lactamase	penam	antibiotic inactivation
rsmA	3005069	protein homolog model	CARD; Resistomes & Variants	2	92.98 - 100.0	YES	no data	Pseudomonas aeruginosa; Proteus columbae; Proteus vulgaris	80.00	0.00	80.00	87.03	163.00	192.68	0	0	0	0	N/A	N/A		186; 189	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux
PDC-148	3006525	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	1.00	0.00	1.00	20.94	250.00	220.00	0	0	0	0	N/A	N/A		1194	PDC beta-lactamase	monobactam; carbapenem; cephalosporin	antibiotic inactivation
PDC-430	3006799	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	1.00	0.00	1.00	10.39	124.00	180.00	0	0	0	0	N/A	N/A		1194	PDC beta-lactamase	monobactam; carbapenem; cephalosporin	antibiotic inactivation
MexG	3000806	protein homolog model	CARD; Resistomes & Variants	6	99.32 - 100.0	YES	no data	Pseudomonas aeruginosa	161.00	0.00	161.00	51.08	260.50	196.61	0	0	0	0	N/A	N/A		447; 447; 447; 447; 1452; 447	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux
MexL	3003710	protein homolog model	CARD; Resistomes & Variants	3	99.53 - 100.0	no data	no data	Pseudomonas aeruginosa	273.00	0.00	273.00	79.48	533.00	204.59	0	0	0	0	N/A	N/A		639; 639; 729	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux
MdtQ	3007682	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	2.00	0.00	2.00	28.89	416.00	193.50	0	0	0	0	N/A	N/A		1440	Outer Membrane Porin (Opr)	monobactam; carbapenem; cephalosporin; cephamycin; penam; penem	reduced permeability to antibiotic
Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	3004480	protein homolog model	Resistomes & Variants	3	91.47 - 93.5	NO	NO	Bifidobacterium bifidum; Bifidobacterium thermophilum; Bifidobacterium breve	89.00	0.00	89.00	10.59	380.33	137.72	0	0	0	0	N/A	N/A		3633; 3570; 3564	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement
emrB	3000074	protein homolog model	Resistomes & Variants	1	96.48	NO	NO	Citrobacter koseri	2.00	0.00	2.00	24.43	376.00	221.00	0	0	0	0	N/A	N/A		1539	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
AcrF	3000502	protein homolog model	Resistomes & Variants	2	99.13 - 99.9	YES	NO	Escherichia coli	3.00	0.00	3.00	10.02	311.00	209.25	0	0	0	0	N/A	N/A		3105; 3105	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; cephamycin; penam	antibiotic efflux
mdtF	3000796	protein homolog model	Resistomes & Variants	1	99.42	NO	NO	Escherichia coli	2.00	0.00	2.00	8.03	250.00	213.00	0	0	0	0	N/A	N/A		3114	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux
FosA8	3007371	protein homolog model	Resistomes & Variants	3	53.47 - 65.91	NO	NO	Enterobacter hormaechei; Klebsiella aerogenes; Pseudomonas koreensis; Pseudomonas aeruginosa	90.00	0.00	90.00	32.60	159.33	129.85	0	0	0	0	N/A	N/A		300; 417; 546	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation
adeF	3000777	protein homolog model	Resistomes & Variants	16	41.23 - 67.21	YES	NO	Klebsiella pneumoniae; Pseudomonas chlororaphis; Pseudomonas aeruginosa	990.00	0.00	990.00	15.15	521.94	194.09	0	0	0	0	N/A	N/A		2910; 3132; 3189; 4635; 2820; 2853; 3189; 3588; 3567; 3114; 2445; 3165; 2796; 4353; 3600; 4212	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux
TEM-244	3007453	protein homolog model	Resistomes & Variants	1	97.71	NO	YES	Klebsiella pneumoniae	1.00	0.00	1.00	11.26	153.00	193.00	0	0	0	0	N/A	N/A		1359	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
APH(3'')-Ib	3002639	protein homolog model	Resistomes & Variants	1	95.65	NO	NO	Klebsiella pneumoniae	2.00	0.00	2.00	5.05	126.00	182.00	0	0	0	0	N/A	N/A		2496	APH(3'')	aminoglycoside antibiotic	antibiotic inactivation
