ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
rmtH	3003198	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	23.00	0.00	23.00	7.64	58.00	78.78	0	0	0	0	N/A	N/A		759	16S rRNA methyltransferase (G1405)	aminoglycoside antibiotic	antibiotic target alteration
adeJ	3000781	protein homolog model	Resistomes & Variants	1	99.81	YES	NO	Acinetobacter baumannii	2.00	0.00	2.00	12.34	392.00	221.00	0	0	0	0	N/A	N/A		3177	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; penem	antibiotic efflux
adeN	3000559	protein homolog model	Resistomes & Variants	1	99.08	NO	NO	Acinetobacter baumannii	2.00	0.00	2.00	17.98	123.00	189.00	0	0	0	0	N/A	N/A		684	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; penem	antibiotic efflux
mdtC	3000794	protein homolog model	Resistomes & Variants	9	93.74 - 99.8	YES	NO	Citrobacter freundii; Escherichia coli	2642.00	0.00	2642.00	20.06	680.33	192.92	0	0	0	0	N/A	N/A		4491; 3078; 3078; 6201; 3078; 3078; 3078; 3078; 3078	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux
Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	3004480	protein homolog model	Resistomes & Variants	1	97.72	NO	NO	Bifidobacterium dentium	346.00	0.00	346.00	28.53	1016.00	126.70	0	0	0	0	N/A	N/A		3561	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement
rsmA	3005069	protein homolog model	Resistomes & Variants	7	83.61 - 92.73	YES	NO	Escherichia coli; Shigella boydii; Shigella dysenteriae; Shigella flexneri; Enterobacter asburiae; Yersinia pestis	286.00	0.00	286.00	70.80	133.86	161.32	0	0	0	0	N/A	N/A		186; 186; 186; 186; 192; 186; 228	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux
Klebsiella pneumoniae KpnF	3004583	protein homolog model	Resistomes & Variants	12	83.49 - 84.95	YES	NO	Escherichia coli; Shigella boydii; Shigella flexneri; Shigella sonnei; Shigella dysenteriae; Escherichia marmotae	289.00	0.00	289.00	66.46	213.50	200.40	0	0	0	0	N/A	N/A		330; 330; 330; 282; 330; 330; 330; 294; 330; 330; 330; 330	small multidrug resistance (SMR) antibiotic efflux pump	macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics	antibiotic efflux
H-NS	3000676	protein homolog model	Resistomes & Variants	7	98.54 - 100.0	YES	NO	Escherichia coli; Shigella boydii; Shigella dysenteriae; Shigella flexneri; Shigella sonnei	472.00	0.00	472.00	67.47	315.14	207.01	0	0	0	0	N/A	N/A		414; 414; 576; 489; 414; 504; 471	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; cephalosporin; cephamycin; penam; tetracycline antibiotic	antibiotic efflux
Escherichia coli mdfA	3001328	protein homolog model	Resistomes & Variants	8	96.1 - 96.83	YES	NO	Shigella dysenteriae; Escherichia coli	1114.00	0.00	1114.00	32.94	416.88	196.58	0	0	0	0	N/A	N/A		1293; 1233; 1233; 1236; 1263; 1233; 1263; 1437	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux
adeF	3000777	protein homolog model	Resistomes & Variants	2	41.97 - 60.78	YES	NO	Enterobacter cloacae; Klebsiella pneumoniae	128.00	0.00	128.00	9.46	302.00	170.08	0	0	0	0	N/A	N/A		3237; 3168	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux
marA	3000263	protein homolog model	Resistomes & Variants	14	96.8 - 100.0	YES	NO	Escherichia coli; Shigella flexneri	973.00	0.00	973.00	62.81	271.43	190.71	0	0	0	0	N/A	N/A		384; 384; 384; 384; 384; 837; 384; 384; 384; 384; 384; 342; 387; 387	resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux; reduced permeability to antibiotic
ugd	3003577	protein homolog model	Resistomes & Variants	4	99.22 - 99.74	YES	NO	Escherichia coli; Escherichia marmotae; Shigella flexneri; Shigella sonnei	948.00	0.00	948.00	53.75	633.50	202.67	0	0	0	0	N/A	N/A		1167; 1167; 1176; 1224	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
AcrE	3000499	protein homolog model	Resistomes & Variants	14	95.31 - 100.0	YES	NO	Escherichia coli; Shigella flexneri	1197.00	0.00	1197.00	31.13	363.79	187.93	0	0	0	0	N/A	N/A		1158; 1158; 1200; 1227; 1158; 1158; 1185; 1158; 1158; 1203; 1158; 1158; 1161; 1158	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; cephamycin; penam	antibiotic efflux
gadW	3003838	protein homolog model	Resistomes & Variants	6	97.11 - 100.0	YES	NO	Escherichia coli	643.00	0.00	643.00	51.26	373.67	209.69	0	0	0	0	N/A	N/A		729; 729; 729; 729; 729; 729	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux
vanG	3002909	protein homolog model	Resistomes & Variants	8	38.23	YES	NO	Escherichia coli	1055.00	0.00	1055.00	40.94	450.38	201.44	0	0	0	0	N/A	N/A		1095; 1095; 1104; 1095; 1095; 1095; 1095; 1152	glycopeptide resistance gene cluster; Van ligase	glycopeptide antibiotic	antibiotic target alteration
Klebsiella pneumoniae KpnE	3004580	protein homolog model	Resistomes & Variants	6	79.17 - 82.2	YES	NO	Escherichia coli	250.00	0.00	250.00	55.25	209.00	170.33	0	0	0	0	N/A	N/A		366; 381; 420; 366; 366; 369	small multidrug resistance (SMR) antibiotic efflux pump	macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics	antibiotic efflux
