ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
CblA-1	3002999	protein homolog model	CARD; Resistomes & Variants	2	100.0	no data	no data	mixed culture; Phocaeicola dorei	2124.00	0.00	2124.00	100.00	891.00	195.75	0	0	0	0	N/A	N/A		891; 891	CblA beta-lactamase	cephalosporin	antibiotic inactivation
dfrF	3002867	protein homolog model	CARD; Resistomes & Variants	4	99.36 - 100.0	YES	YES	Enterococcus faecalis; Anaerostipes hadrus; Bifidobacterium longum; Enterocloster clostridioformis; Enterococcus faecium; Erysipelatoclostridium ramosum; Streptococcus dysgalactiae; Streptococcus equi; Streptococcus gallolyticus; Streptococcus lutetiensis; Streptococcus pasteurianus; Streptococcus suis	3081.00	0.00	3081.00	95.89	465.00	181.69	0	0	0	0	N/A	N/A		495; 474; 495; 474	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
OXA-212	3001711	protein homolog model	CARD; Resistomes & Variants	2	97.08 - 100.0	YES	no data	Acinetobacter johnsonii	2274.00	0.00	2274.00	100.00	825.00	194.24	0	0	0	0	N/A	N/A		825; 825	OXA beta-lactamase; OXA-211-like beta-lactamase	carbapenem; penam	antibiotic inactivation
VEB-3	3002372	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter cloacae	214.00	0.00	214.00	72.89	656.00	198.76	0	0	0	0	N/A	N/A		900	VEB beta-lactamase	monobactam; cephalosporin	antibiotic inactivation
OXA-45	3001794	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	33.00	0.00	33.00	98.62	784.00	190.73	0	0	0	0	N/A	N/A		795	OXA beta-lactamase	penam	antibiotic inactivation
OXA-226	3001800	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	28.00	0.00	28.00	76.33	632.00	194.68	0	0	0	0	N/A	N/A		828	OXA beta-lactamase; OXA-2-like beta-lactamase	cephalosporin; penam	antibiotic inactivation
msrE	3003109	protein homolog model	CARD; Resistomes & Variants	15	98.95 - 100.0	YES	YES	Acinetobacter baumannii; Acinetobacter nosocomialis; Acinetobacter pittii; Citrobacter werkmanii; Enterobacter hormaechei; Pseudomonas stutzeri; Klebsiella pneumoniae; Pseudomonas aeruginosa	625951.00	0.00	625951.00	65.28	792.93	196.53	0	0	0	0	N/A	N/A		1476; 1476; 1476; 1476; 1476; 1476; 1476; 1476; 1476; 1476; 1476; 1167; 171; 591; 735	msr-type ABC-F protein	macrolide antibiotic; streptogramin antibiotic	antibiotic target protection
FosA2	3002804	protein homolog model	CARD; Resistomes & Variants	10	90.44 - 100.0	YES	no data	Enterobacter cloacae; Enterobacter asburiae; Enterobacter roggenkampii; Enterobacter hormaechei; Enterobacter kobei	32.00	0.00	32.00	48.78	238.20	189.14	0	0	0	0	N/A	N/A		426; 429; 426; 582; 426; 426; 582; 534; 426; 582	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation
OXY-6-1	3002413	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella oxytoca	79.00	0.00	79.00	100.00	876.00	196.03	0	0	0	0	N/A	N/A		876	OXY beta-lactamase	monobactam; cephalosporin; penam	antibiotic inactivation
MOX-5	3002188	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas caviae	1.00	0.00	1.00	13.11	151.00	159.00	0	0	0	0	N/A	N/A		1152	MOX beta-lactamase	cephalosporin; cephamycin; penam	antibiotic inactivation
