ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
CblA-1	3002999	protein homolog model	CARD; Resistomes & Variants	2	100.0	no data	no data	mixed culture; Phocaeicola dorei	1499.00	0.00	1499.00	100.00	891.00	195.80	0	0	0	0	N/A	N/A		891; 891	CblA beta-lactamase	cephalosporin	antibiotic inactivation
dfrF	3002867	protein homolog model	CARD; Resistomes & Variants	4	99.36 - 100.0	YES	YES	Enterococcus faecalis; Anaerostipes hadrus; Bifidobacterium longum; Enterocloster clostridioformis; Enterococcus faecium; Erysipelatoclostridium ramosum; Streptococcus dysgalactiae; Streptococcus equi; Streptococcus gallolyticus; Streptococcus lutetiensis; Streptococcus pasteurianus; Streptococcus suis	2236.00	0.00	2236.00	92.61	449.50	183.31	0	0	0	0	N/A	N/A		495; 474; 495; 474	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
OXA-212	3001711	protein homolog model	CARD; Resistomes & Variants	2	97.08 - 100.0	YES	no data	Acinetobacter johnsonii	1109.00	0.00	1109.00	100.00	825.00	194.24	0	0	0	0	N/A	N/A		825; 825	OXA beta-lactamase; OXA-211-like beta-lactamase	carbapenem; penam	antibiotic inactivation
CMY-1	3002012	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	22.00	0.00	22.00	74.85	860.00	170.45	0	0	0	0	N/A	N/A		1149	CMY beta-lactamase	cephamycin	antibiotic inactivation
VEB-3	3002372	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter cloacae	90.00	0.00	90.00	63.33	570.00	197.93	0	0	0	0	N/A	N/A		900	VEB beta-lactamase	monobactam; cephalosporin	antibiotic inactivation
OXA-45	3001794	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	28.00	0.00	28.00	100.00	795.00	196.21	0	0	0	0	N/A	N/A		795	OXA beta-lactamase	penam	antibiotic inactivation
OXA-226	3001800	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	33.00	0.00	33.00	89.25	739.00	191.94	0	0	0	0	N/A	N/A		828	OXA beta-lactamase; OXA-2-like beta-lactamase	cephalosporin; penam	antibiotic inactivation
msrE	3003109	protein homolog model	CARD; Resistomes & Variants	13	98.95 - 100.0	YES	no data	Acinetobacter baumannii; Acinetobacter nosocomialis; Acinetobacter pittii; Citrobacter werkmanii; Enterobacter hormaechei; Pseudomonas stutzeri; Klebsiella pneumoniae; Pseudomonas aeruginosa	429544.00	0.00	429544.00	66.77	812.92	195.80	0	0	0	0	N/A	N/A		1476; 1476; 1476; 1476; 1476; 1476; 1476; 1476; 1476; 1167; 171; 591; 735	msr-type ABC-F protein	macrolide antibiotic; streptogramin antibiotic	antibiotic target protection
OXY-6-1	3002413	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella oxytoca	55.00	0.00	55.00	100.00	876.00	189.07	0	0	0	0	N/A	N/A		876	OXY beta-lactamase	monobactam; cephalosporin; penam	antibiotic inactivation
mdtP	3003550	protein homolog model	CARD; Resistomes & Variants	14	96.11 - 100.0	YES	no data	Escherichia coli; Shigella sonnei	556.00	0.00	556.00	59.38	1003.64	193.00	0	0	0	0	N/A	N/A		1467; 1467; 1467; 1467; 1467; 1467; 1500; 1467; 1467; 1467; 1467; 1554; 3213; 3273	major facilitator superfamily (MFS) antibiotic efflux pump	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux
